epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5289.86,1.35177,0.85977,0.02706,0.84285,0.85189,0.90589,0.51989,1.5431,0.81499,0.04563,0.000990365,0.000990365,0.000990365
43,5415.7,1.35423,0.8318,0.02636,0.87077,0.81609,0.89079,0.52656,1.48761,0.87488,0.04372,0.000973861,0.000973861,0.000973861
44,5541.81,1.32365,0.83318,0.02575,0.87008,0.83713,0.90498,0.53015,1.45659,0.82609,0.04273,0.000957358,0.000957358,0.000957358
45,5668.26,1.32798,0.83919,0.02614,0.84935,0.81804,0.89913,0.54137,1.46867,0.85927,0.04264,0.000940855,0.000940855,0.000940855
46,5794.27,1.30962,0.82403,0.02545,0.879,0.81338,0.89754,0.51625,1.56218,0.82972,0.0464,0.000924352,0.000924352,0.000924352
47,5920.51,1.28992,0.80428,0.0249,0.84933,0.84095,0.89795,0.53472,1.46157,0.9081,0.04273,0.000907848,0.000907848,0.000907848
48,6048.47,1.29368,0.82813,0.02564,0.85918,0.83542,0.89175,0.52923,1.48525,0.85044,0.04341,0.000891345,0.000891345,0.000891345
49,6174.9,1.29621,0.82196,0.02491,0.8559,0.85342,0.90604,0.5239,1.51313,0.85715,0.04483,0.000874842,0.000874842,0.000874842
50,6300.98,1.26256,0.81488,0.02417,0.87082,0.82805,0.9081,0.52227,1.54993,0.8425,0.04605,0.000858338,0.000858338,0.000858338
51,6427.09,1.26444,0.79538,0.02431,0.87279,0.84194,0.91127,0.54744,1.45547,0.8528,0.0423,0.000841835,0.000841835,0.000841835
52,6553.35,1.24541,0.79349,0.02397,0.86474,0.84551,0.91502,0.55648,1.43461,0.82678,0.04178,0.000825332,0.000825332,0.000825332
53,6679.65,1.24871,0.76183,0.02398,0.86242,0.84732,0.90918,0.52918,1.48088,0.81528,0.04301,0.000808828,0.000808828,0.000808828
54,6805.64,1.23965,0.78861,0.02423,0.8621,0.84222,0.9038,0.53512,1.47923,0.83413,0.04285,0.000792325,0.000792325,0.000792325
55,6931.55,1.25289,0.77538,0.02414,0.86223,0.84703,0.89977,0.53027,1.50197,0.89941,0.04375,0.000775822,0.000775822,0.000775822
56,7057.43,1.22096,0.75759,0.02313,0.8386,0.84774,0.89344,0.53871,1.46314,0.89467,0.04238,0.000759318,0.000759318,0.000759318
57,7183.33,1.22635,0.77154,0.02384,0.85883,0.84108,0.90139,0.54658,1.45337,0.83029,0.04231,0.000742815,0.000742815,0.000742815
58,7309.32,1.2124,0.74938,0.0231,0.87836,0.84421,0.91492,0.53776,1.48605,0.80981,0.04321,0.000726312,0.000726312,0.000726312
59,7435.08,1.2032,0.72491,0.02317,0.87261,0.83737,0.90814,0.54469,1.47336,0.79183,0.04269,0.000709809,0.000709809,0.000709809
60,7560.96,1.18911,0.7467,0.02296,0.84865,0.86786,0.90634,0.54727,1.43629,0.82881,0.04144,0.000693305,0.000693305,0.000693305
