epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2577.69,1.20321,0.85907,1.4962,0.89511,0.88205,0.93285,0.56879,1.4411,0.70564,1.9326,0.000990365,0.000990365,0.000990365
43,2639.1,1.15788,0.8103,1.46889,0.88759,0.9105,0.94361,0.58078,1.39529,0.68291,1.9009,0.000973861,0.000973861,0.000973861
44,2700.51,1.1884,0.83964,1.48842,0.9281,0.8911,0.94515,0.5697,1.40098,0.67407,1.91061,0.000957358,0.000957358,0.000957358
45,2761.98,1.16818,0.83158,1.4769,0.87298,0.91052,0.94036,0.5645,1.43083,0.68485,1.92155,0.000940855,0.000940855,0.000940855
46,2823.43,1.16777,0.80329,1.46818,0.85991,0.90079,0.93102,0.55553,1.42474,0.73593,1.94312,0.000924352,0.000924352,0.000924352
47,2884.84,1.17038,0.82225,1.47876,0.89722,0.89108,0.93612,0.57024,1.39597,0.65257,1.91817,0.000907848,0.000907848,0.000907848
48,2946.3,1.15441,0.81022,1.46269,0.8722,0.88387,0.91903,0.55386,1.43324,0.70188,1.95255,0.000891345,0.000891345,0.000891345
49,3007.73,1.14048,0.7872,1.45336,0.88783,0.89356,0.93857,0.5635,1.43355,0.68853,1.94541,0.000874842,0.000874842,0.000874842
50,3069.13,1.14291,0.79365,1.46634,0.89169,0.87068,0.92628,0.55262,1.40851,0.72312,1.91463,0.000858338,0.000858338,0.000858338
51,3130.42,1.10957,0.76143,1.43552,0.86168,0.91811,0.91872,0.56431,1.39886,0.68575,1.92793,0.000841835,0.000841835,0.000841835
52,3191.84,1.1212,0.75388,1.43394,0.89794,0.9008,0.93978,0.56789,1.40609,0.66306,1.92749,0.000825332,0.000825332,0.000825332
53,3253.26,1.14272,0.77654,1.4498,0.87527,0.90076,0.9245,0.56212,1.42085,0.67131,1.92339,0.000808828,0.000808828,0.000808828
54,3314.68,1.11477,0.77406,1.43664,0.87285,0.9034,0.93544,0.56618,1.40033,0.66193,1.92105,0.000792325,0.000792325,0.000792325
55,3376.17,1.11614,0.77365,1.43257,0.86095,0.9224,0.92827,0.57055,1.37444,0.66896,1.89515,0.000775822,0.000775822,0.000775822
56,3437.4,1.11427,0.75022,1.43892,0.91832,0.8982,0.95902,0.58172,1.38935,0.64187,1.90922,0.000759318,0.000759318,0.000759318
57,3498.91,1.10731,0.74425,1.43259,0.91835,0.91418,0.95969,0.59421,1.38701,0.61435,1.90868,0.000742815,0.000742815,0.000742815
58,3560.29,1.09407,0.72627,1.40684,0.91102,0.8993,0.94786,0.57603,1.41531,0.64132,1.92593,0.000726312,0.000726312,0.000726312
59,3621.72,1.08603,0.73322,1.42178,0.88233,0.93566,0.94525,0.57324,1.40778,0.64339,1.92446,0.000709809,0.000709809,0.000709809
60,3683.42,1.05817,0.70857,1.39293,0.92783,0.89987,0.94408,0.58327,1.39142,0.63101,1.92195,0.000693305,0.000693305,0.000693305
61,3745.83,1.09388,0.72374,1.41996,0.88512,0.87897,0.90585,0.54723,1.39829,0.68641,1.89282,0.000676802,0.000676802,0.000676802
62,3807.26,1.08433,0.7108,1.40428,0.88347,0.92252,0.93852,0.57609,1.37636,0.65168,1.89588,0.000660299,0.000660299,0.000660299
63,3868.48,1.06909,0.70363,1.40036,0.89678,0.91424,0.93437,0.56814,1.4162,0.65454,1.93758,0.000643795,0.000643795,0.000643795
64,3930.29,1.07875,0.72304,1.41524,0.8843,0.88753,0.9141,0.54951,1.43285,0.67862,1.97991,0.000627292,0.000627292,0.000627292
65,3992,1.04336,0.70421,1.36978,0.89825,0.92034,0.9478,0.58222,1.39035,0.6425,1.91528,0.000610789,0.000610789,0.000610789
66,4053.69,1.02965,0.69998,1.37128,0.91627,0.93569,0.95615,0.58974,1.40854,0.60768,1.93766,0.000594286,0.000594286,0.000594286
67,4115.27,1.04681,0.68626,1.38214,0.88941,0.91689,0.94144,0.58241,1.38216,0.615,1.92177,0.000577782,0.000577782,0.000577782
68,4176.5,1.02195,0.6802,1.36207,0.89684,0.92782,0.94941,0.58128,1.42115,0.62807,1.95644,0.000561279,0.000561279,0.000561279
69,4238.35,1.04737,0.67333,1.37973,0.93669,0.8862,0.94606,0.57812,1.41457,0.608,1.94387,0.000544776,0.000544776,0.000544776
70,4299.7,1.01958,0.6743,1.36715,0.93646,0.91759,0.95451,0.58601,1.39323,0.63488,1.93998,0.000528272,0.000528272,0.000528272
71,4361.06,1.00396,0.66199,1.34936,0.92062,0.93432,0.95719,0.58334,1.43193,0.62479,1.95906,0.000511769,0.000511769,0.000511769
72,4422.45,1.00958,0.67433,1.37209,0.9205,0.92014,0.95826,0.58961,1.4055,0.6238,1.938,0.000495266,0.000495266,0.000495266
73,4483.92,0.99449,0.64812,1.34365,0.91243,0.90613,0.95249,0.57444,1.44237,0.6254,1.9954,0.000478762,0.000478762,0.000478762
74,4545.35,1.00033,0.65252,1.35224,0.90096,0.92851,0.95689,0.58646,1.4204,0.6333,1.93773,0.000462259,0.000462259,0.000462259
75,4606.8,0.97168,0.6255,1.319,0.91827,0.92357,0.95139,0.57959,1.39613,0.61782,1.95216,0.000445756,0.000445756,0.000445756
76,4668.18,0.96304,0.62207,1.33109,0.91856,0.93535,0.9603,0.5901,1.41011,0.60551,1.95655,0.000429253,0.000429253,0.000429253
77,4729.5,0.95657,0.62435,1.31921,0.90794,0.93145,0.96157,0.59506,1.3906,0.60812,1.91861,0.000412749,0.000412749,0.000412749
78,4790.98,0.96729,0.62522,1.3268,0.91926,0.89786,0.94846,0.58151,1.42265,0.62283,1.96879,0.000396246,0.000396246,0.000396246
79,4852.34,0.95492,0.62815,1.3218,0.91384,0.93461,0.94766,0.58664,1.40866,0.60064,1.94296,0.000379743,0.000379743,0.000379743
80,4913.76,0.93535,0.61989,1.31767,0.91201,0.93465,0.95405,0.59821,1.38446,0.58419,1.91877,0.000363239,0.000363239,0.000363239
81,4975.04,0.93536,0.61873,1.30472,0.92116,0.93428,0.9541,0.58487,1.40614,0.59149,1.96996,0.000346736,0.000346736,0.000346736
82,5036.47,0.90876,0.60626,1.28825,0.935,0.94192,0.96309,0.59047,1.39987,0.60823,1.97478,0.000330233,0.000330233,0.000330233
83,5097.71,0.91613,0.59259,1.30258,0.91156,0.92056,0.94172,0.58462,1.39424,0.61037,1.96177,0.000313729,0.000313729,0.000313729
84,5159.07,0.90249,0.57234,1.28032,0.91647,0.92014,0.94941,0.59123,1.408,0.60213,1.95485,0.000297226,0.000297226,0.000297226
85,5220.36,0.91745,0.58487,1.28754,0.92251,0.93467,0.94824,0.5914,1.40712,0.60445,1.97185,0.000280723,0.000280723,0.000280723
86,5281.66,0.90748,0.57365,1.28768,0.88149,0.94404,0.937,0.58159,1.42407,0.63635,1.98365,0.00026422,0.00026422,0.00026422
87,5343.12,0.89,0.56182,1.28443,0.91189,0.92929,0.94331,0.59312,1.41236,0.61427,1.97645,0.000247716,0.000247716,0.000247716
88,5404.28,0.89263,0.5763,1.27271,0.88925,0.94678,0.94496,0.58743,1.4214,0.60741,1.99751,0.000231213,0.000231213,0.000231213
89,5465.6,0.88731,0.57068,1.27105,0.91651,0.93593,0.95506,0.58007,1.41395,0.61329,2.00713,0.00021471,0.00021471,0.00021471
90,5526.98,0.85816,0.56194,1.26446,0.92395,0.92981,0.95036,0.5801,1.41131,0.60018,1.9932,0.000198206,0.000198206,0.000198206
91,5619.96,0.81561,0.40612,1.35551,0.93014,0.91283,0.95074,0.57774,1.40086,0.6047,2.00436,0.000181703,0.000181703,0.000181703
92,5680.97,0.79186,0.37407,1.3349,0.90835,0.92673,0.95372,0.58423,1.41612,0.60158,2.01894,0.0001652,0.0001652,0.0001652
93,5742.01,0.75394,0.36145,1.30497,0.90309,0.93594,0.94692,0.57837,1.41103,0.60816,2.02746,0.000148696,0.000148696,0.000148696
94,5803.02,0.74747,0.35135,1.2918,0.90434,0.91874,0.94307,0.57408,1.41502,0.61673,2.02218,0.000132193,0.000132193,0.000132193
95,5864.08,0.73225,0.35068,1.28141,0.91811,0.92546,0.95561,0.58756,1.40867,0.60264,2.032,0.00011569,0.00011569,0.00011569
96,5925.17,0.72175,0.34359,1.28028,0.92568,0.90566,0.9432,0.58059,1.427,0.61198,2.06698,9.91865e-05,9.91865e-05,9.91865e-05
97,5986.34,0.70563,0.33799,1.26846,0.91611,0.93775,0.95569,0.58708,1.41262,0.60341,2.05248,8.26832e-05,8.26832e-05,8.26832e-05
98,6047.33,0.70064,0.33371,1.24774,0.93492,0.92014,0.9554,0.59244,1.40827,0.60859,2.04587,6.61799e-05,6.61799e-05,6.61799e-05
99,6108.32,0.68919,0.33598,1.23925,0.9024,0.93467,0.95084,0.5847,1.42043,0.61184,2.06339,4.96766e-05,4.96766e-05,4.96766e-05
100,6169.43,0.69102,0.33117,1.25275,0.90956,0.93596,0.9561,0.58875,1.41166,0.60924,2.05733,3.31733e-05,3.31733e-05,3.31733e-05
